separation,name,ra,dec,gal_l,gal_b,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood,likelihood_class,conf_flag,dither_warning_flag,extent_flag,pileup_flag,sat_src_flag,streak_src_flag,var_flag,var_inter_hard_flag,man_add_flag,man_inc_flag,man_match_flag,man_pos_flag,man_reg_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_h,flux_aper_lolim_h,flux_aper_hilim_h,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,flux_aper90_b,flux_aper90_lolim_b,flux_aper90_hilim_b,flux_aper90_h,flux_aper90_lolim_h,flux_aper90_hilim_h,flux_aper90_m,flux_aper90_lolim_m,flux_aper90_hilim_m,flux_aper90_s,flux_aper90_lolim_s,flux_aper90_hilim_s,flux_aper90_u,flux_aper90_lolim_u,flux_aper90_hilim_u,phot_nsrcs,nh_gal,hard_hm,hard_hm_lolim,hard_hm_hilim,var_inter_hard_prob_hm,var_inter_hard_sigma_hm,hard_hs,hard_hs_lolim,hard_hs_hilim,var_inter_hard_prob_hs,var_inter_hard_sigma_hs,hard_ms,hard_ms_lolim,hard_ms_hilim,var_inter_hard_prob_ms,var_inter_hard_sigma_ms,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,powlaw_gamma,powlaw_gamma_lolim,powlaw_gamma_hilim,powlaw_gamma_rhat,powlaw_nh,powlaw_nh_lolim,powlaw_nh_hilim,powlaw_nh_rhat,powlaw_ampl,powlaw_ampl_lolim,powlaw_ampl_hilim,powlaw_ampl_rhat,powlaw_stat,flux_bb,flux_bb_lolim,flux_bb_hilim,bb_kt,bb_kt_lolim,bb_kt_hilim,bb_kt_rhat,bb_nh,bb_nh_lolim,bb_nh_hilim,bb_nh_rhat,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_ampl_rhat,bb_stat,flux_brems,flux_brems_lolim,flux_brems_hilim,brems_kt,brems_kt_lolim,brems_kt_hilim,brems_kt_rhat,brems_nh,brems_nh_lolim,brems_nh_hilim,brems_nh_rhat,brems_norm,brems_norm_lolim,brems_norm_hilim,brems_norm_rhat,brems_stat,flux_apec,flux_apec_lolim,flux_apec_hilim,apec_kt,apec_kt_lolim,apec_kt_hilim,apec_kt_rhat,apec_abund,apec_abund_lolim,apec_abund_hilim,apec_abund_rhat,apec_z,apec_z_lolim,apec_z_hilim,apec_z_rhat,apec_nh,apec_nh_lolim,apec_nh_hilim,apec_nh_rhat,apec_norm,apec_norm_lolim,apec_norm_hilim,apec_norm_rhat,apec_stat,var_intra_index_b,var_intra_prob_b,ks_intra_prob_b,kp_intra_prob_b,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,acis_num,acis_time,obsid,obi,targname,gti_start,gti_stop,gti_elapse,gti_obs,gti_end,gti_mjd_obs,mjd_ref,ao,instrument,grating,datamode,readmode,cycle,exptime,timing_mode,man_astrom_flag,region_id,theta,phi,flux_significance_b,flux_significance_h,flux_significance_m,flux_significance_s,flux_significance_u,likelihood_b,likelihood_h,likelihood_m,likelihood_s,likelihood_u,conf_code,dither_warning_flag.1,edge_code,extent_code,multi_chip_code,pileup_warning,sat_src_flag.1,streak_src_flag.1,var_code,flux_aper90_b.1,flux_aper90_lolim_b.1,flux_aper90_hilim_b.1,flux_aper90_h.1,flux_aper90_lolim_h.1,flux_aper90_hilim_h.1,flux_aper90_m.1,flux_aper90_lolim_m.1,flux_aper90_hilim_m.1,flux_aper90_s.1,flux_aper90_lolim_s.1,flux_aper90_hilim_s.1,flux_aper90_u.1,flux_aper90_lolim_u.1,flux_aper90_hilim_u.1,phot_nsrcs.1,hard_hm.1,hard_hm_lolim.1,hard_hm_hilim.1,hard_hs.1,hard_hs_lolim.1,hard_hs_hilim.1,hard_ms.1,hard_ms_lolim.1,hard_ms_hilim.1,var_index_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b,var_max_b,livetime,detector,version
0.05,2CXO J110807.9+091722, 11 08 07.91,+09 17 22.39,244.23062,59.79081,2.57,2.01,54.8,14.54,702.7794,                TRUE,False,False, TRUE,False,False,False,False, TRUE,False,False,False,False,False,1.725e-13,1.525e-13,1.925e-13,7.508e-14,5.045e-14,9.972e-14,3.56e-14,3.185e-14,3.936e-14,6.569e-14,5.938e-14,7.2e-14,1.936e-13,1.795e-13,2.078e-13,1.021e-13,8.417e-14,1.19e-13,3.614e-14,3.251e-14,3.977e-14,6.199e-14,5.587e-14,6.812e-14,4.871e-14,2.373e-14,7.244e-14,1,2.75,-0.1249,-0.2392,-0.0194,0.946,0.3979,-0.466,-0.5528,-0.3816,0.997,0.8706,-0.3598,-0.4179,-0.2992,0.92,0.4366,1.45e-13,1.32e-13,1.597e-13,2.456,2.168,2.793,         ,6.911,0.2822,14.33,         ,5.209e-05,4.193e-05,6.569e-05,         ,0.657,8.929e-14,7.869e-14,9.67e-14,0.3205,0.2911,0.3442,         ,3.31e-06,         ,1.305,         ,0.0009705,0.0007252,0.001446,         ,1.388,1.311e-13,1.174e-13,1.415e-13,1.824,1.503,2.236,         ,1.328e-06,         ,2.344,         ,6.291e-05,5.627e-05,7.258e-05,         ,0.687,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0,0.349,0.785,0.902,8,1.0,5.649e-05,2,34416.2,5009,1,     MACS1108.8+0906,193706861.678,193731655.478,24793.8,2004-02-20T23:27:42,2004-02-21T06:20:55,53055.97757,50814.0,5,ACIS,NONE,    VFAINT,               TIMED,P,3.1,False,False,25,14.784,114.98,14.54,4.97,9.59,10.69,1.95,702.78,69.65,333.49,356.17,26.78,7,False,1,16,0,0.0008986596,False,False,0,1.936e-13,1.795e-13,2.078e-13,1.021e-13,8.417e-14,1.19e-13,3.614e-14,3.251e-14,3.977e-14,6.199e-14,5.587e-14,6.812e-14,4.871e-14,2.373e-14,7.244e-14,1,-0.1249,-0.2392,-0.0194,-0.466,-0.5528,-0.3816,-0.3598,-0.4179,-0.2992,0,0.129,0.785,0.487,0.000178,0.02251,0.02233,0.02269,24463.7,         ACIS-6,cscv2.0
0.03,2CXO J111636.5+181552, 11 16 36.57,+18 15 52.82,230.04333,66.4538,2.65,1.99,111.3,5.58,76.89581,                TRUE,False,False,False,False,False,False,False,False,False,False,False,False,False,1.558e-14,1.084e-14,2.033e-14,6.906e-15,2.17e-15,1.144e-14,3.724e-15,2.793e-15,4.656e-15,5.141e-15,3.552e-15,6.73e-15,1.783e-14,1.426e-14,2.12e-14,1.281e-14,8.201e-15,1.717e-14,3.912e-15,2.963e-15,4.86e-15,4.539e-15,3.231e-15,5.77e-15,         ,         ,         ,1,1.45,0.0062,-0.2505,0.2242,         ,         ,-0.2673,-0.5003,-0.0418,         ,         ,-0.2648,-0.4241,-0.0831,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,2,0.727,0.739,0.874,  ,         ,         ,1,38503.7,2073,0,   NGC 3607/NGC 3608,108696334.918,108735351.518,39016.6,2001-06-12T01:25:35,2001-06-12T12:15:52,52072.05943,50814.0,2,ACIS,NONE,    VFAINT,               TIMED,P,3.1,False,False,127,10.627,311.63,5.58,2.38,3.94,3.64,0.0,76.9,11.77,50.75,34.65,         ,7,False,1,0,0,0.0003263891,False,False,0,1.783e-14,1.426e-14,2.12e-14,1.281e-14,8.201e-15,1.717e-14,3.912e-15,2.963e-15,4.86e-15,4.539e-15,3.231e-15,5.77e-15,         ,         ,         ,1,0.0062,-0.2505,0.2242,-0.2673,-0.5003,-0.0418,-0.2648,-0.4241,-0.0831,2,0.727,0.739,0.874,0.0005507,0.002452,0.002151,0.00649,38503.7,         ACIS-1,cscv2.0
0.04,2CXO J125711.9+274216, 12 57 11.97,+27 42 16.88,57.5295,88.59746,2.19,1.53,60.5,12.78,487.9723,                TRUE,False,False,False,False,False,False,False,False,False,False,False,False,False,6.673e-14,5.695e-14,7.593e-14,1.954e-14,9.56e-15,2.91e-14,2.03e-14,1.8e-14,2.259e-14,2.775e-14,2.396e-14,3.132e-14,7.908e-14,7.187e-14,8.628e-14,2.976e-14,2.232e-14,3.72e-14,2.082e-14,1.862e-14,2.302e-14,2.895e-14,2.558e-14,3.232e-14,1.166e-13,3.535e-14,1.944e-13,1,0.92,-0.0999,-0.213,0.0056,         ,         ,-0.3623,-0.4603,-0.2642,         ,         ,-0.2686,-0.3417,-0.193,         ,         ,8.184e-14,7.391e-14,8.993e-14,2.101,1.864,2.414,         ,4.043,         ,13.55,         ,2.327e-05,1.931e-05,3.028e-05,         ,1.391,5.088e-14,3.996e-14,5.651e-14,0.4393,0.391,0.492,         ,1.974e-06,         ,1.493,         ,0.000152,0.0001016,0.0002322,         ,1.963,7.662e-14,6.811e-14,8.428e-14,2.9,2.277,3.791,         ,3.717e-06,         ,3.513,         ,2.723e-05,2.46e-05,3.102e-05,         ,1.352,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0,0.278,0.959,0.943,  ,         ,         ,1,43447.8,12887,0,             NGC4839,405826774.883,405870797.983,44023.1,2010-11-11T01:39:35,2010-11-11T13:53:18,55511.06915,50814.0,12,ACIS,NONE,    VFAINT,               TIMED,P,3.1,False,False,42,12.382,110.63,12.78,5.09,8.93,8.28,2.74,487.97,59.53,245.12,178.84,5.99,7,False,1,0,0,0.0005785203,False,False,0,7.908e-14,7.187e-14,8.628e-14,2.976e-14,2.232e-14,3.72e-14,2.082e-14,1.862e-14,2.302e-14,2.895e-14,2.558e-14,3.232e-14,1.166e-13,3.535e-14,1.944e-13,1,-0.0999,-0.213,0.0056,-0.3623,-0.4603,-0.2642,-0.2686,-0.3417,-0.193,0,0.278,0.959,0.943,0.000297,0.01255,0.01226,0.01285,43447.8,         ACIS-6,cscv2.0
0.04,2CXO J125724.4+272952, 12 57 24.41,+27 29 52.49,48.85246,88.62359,0.73,0.73,0.0,9.4,62.5254,                TRUE,False,False, TRUE,False,False,False,False,False,False,False,False,False,False,2.175e-14,1.924e-14,2.411e-14,3.263e-15,1.398e-15,5.05e-15,5.249e-15,4.21e-15,6.229e-15,1.357e-14,1.174e-14,1.529e-14,5.756e-15,4.565e-15,6.947e-15,5.433e-16,0.0,1.087e-15,1.449e-15,9.567e-16,1.941e-15,3.877e-15,2.923e-15,4.831e-15,         ,         ,         ,1,0.92,-0.6871,-0.8364,-0.5278,         ,         ,-0.9157,-0.96,-0.8638,         ,         ,-0.6059,-0.6752,-0.5303,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0,0.458,0.897,0.922,  ,         ,         ,1,43435.5,12887,0,             NGC4839,405826774.883,405870797.983,44023.1,2010-11-11T01:39:35,2010-11-11T13:53:18,55511.06915,50814.0,12,ACIS,NONE,    VFAINT,               TIMED,P,3.1,False,False,124,1.161,6.83,9.4,1.7,5.2,7.72,1.35,62.53,         ,24.03,47.77,         ,263,False,0,22,0,0.002241766,False,False,0,5.756e-15,4.565e-15,6.947e-15,5.433e-16,0.0,1.087e-15,1.449e-15,9.567e-16,1.941e-15,3.877e-15,2.923e-15,4.831e-15,         ,         ,         ,1,-0.6871,-0.8364,-0.5278,-0.9157,-0.96,-0.8638,-0.6059,-0.6752,-0.5303,0,0.458,0.897,0.922,0.00048,0.003113,0.002824,0.006183,43435.5,         ACIS-3,cscv2.0
0.02,2CXO J161532.9-603954, 16 15 32.93,-60 39 54.97,325.50177,-7.08173,0.9,0.85,128.1,11.53,558.2897,                TRUE,False,False, TRUE,False,False,False,False,False,False,False,False,False,False,1.346e-13,1.228e-13,1.464e-13,8.16e-14,6.849e-14,9.47e-14,3.005e-14,2.608e-14,3.378e-14,2.514e-14,2.098e-14,2.931e-14,1.322e-13,1.203e-13,1.441e-13,8.155e-14,6.821e-14,9.49e-14,2.998e-14,2.596e-14,3.4e-14,2.704e-14,2.257e-14,3.151e-14,2.005e-15,0.0,4.009e-15,1,20.64,-0.045,-0.1468,0.0543,         ,         ,-0.0999,-0.2117,0.0131,         ,         ,-0.055,-0.1555,0.0493,         ,         ,1.126e-13,9.938e-14,1.255e-13,2.171,1.882,2.492,         ,23.71,12.41,37.23,         ,4.31e-05,3.164e-05,5.964e-05,         ,1.093,8.776e-14,7.721e-14,9.808e-14,0.5383,0.4984,0.5808,         ,4.279e-06,         ,3.753,         ,0.0001093,8.31e-05,0.0001432,         ,1.85,1.072e-13,8.949e-14,1.195e-13,3.45,2.402,5.47,         ,12.26,3.883,22.12,         ,4.124e-05,3.267e-05,5.401e-05,         ,1.156,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0,0.097,0.488,0.743,  ,         ,         ,1,14109.5,4957,0,          Abell 3627,203630978.788,203645278.302,14299.514,2004-06-14T20:09:39,2004-06-15T00:07:58,53170.84003,50814.0,5,ACIS,NONE,    VFAINT,               TIMED,P,3.1,False,False,6,5.976,156.73,11.53,6.25,7.82,6.03,1.0,558.29,123.17,283.57,171.54,         ,0,False,0,16,0,0.009570451,False,False,0,1.322e-13,1.203e-13,1.441e-13,8.155e-14,6.821e-14,9.49e-14,2.998e-14,2.596e-14,3.4e-14,2.704e-14,2.257e-14,3.151e-14,2.005e-15,0.0,4.009e-15,1,-0.045,-0.1468,0.0543,-0.0999,-0.2117,0.0131,-0.055,-0.1555,0.0493,0,0.097,0.488,0.743,0.0001041,0.01265,0.01255,0.01278,14109.5,         ACIS-2,cscv2.0
0.04,2CXO J170000.0-455935, 17 00 00.04,-45 59 35.50,340.86131,-2.23685,2.09,1.92,98.7,16.13,673.4991,                TRUE,False,False, TRUE,False,False,False,False, TRUE,False,False,False,False,False,4.36e-14,3.425e-14,5.242e-14,4.689e-14,3.696e-14,5.626e-14,1.539e-15,7.695e-16,2.277e-15,0.0,0.0,1.417e-15,4.272e-14,3.58e-14,4.921e-14,4.006e-14,3.241e-14,4.727e-14,1.933e-15,1.31e-15,2.557e-15,0.0,0.0,8.088e-16,         ,         ,         ,1,89.16,0.7408,0.609,0.8663,0.898,0.4727,0.7958,0.6002,0.9325,0.557,0.2038,-0.0712,-0.4528,0.4316,0.86,1.401,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0,0.453,0.987,0.996,8,1.0,3.393e-05,4,190157.9,11087,0,       XTE J1701-462,403182298.684,403239626.684,57328.0,2010-10-11T11:04:59,2010-10-12T03:00:27,55480.46179,50814.0,11,ACIS,NONE,    VFAINT,               TIMED,P,3.2,False,False,107,15.628,300.68,4.05,3.95,2.27,0.0,2.91,43.22,28.95,11.03,1.29,1.65,7,False,3,24,0,0.0001717803,False,False,0,5.895e-14,4.794e-14,6.997e-14,5.521e-14,4.323e-14,6.718e-14,3.586e-15,2.478e-15,4.695e-15,0.000e+00,0.000e+00,3.309e-15,         ,         ,         ,1,0.6171,0.4541,0.7701,0.9994,0.6989,1.0,0.9482,0.128,1.0, 0,    0.071,    0.406,    0.513,5.892e-06, 0.005582, 0.005576, 0.005588,56598.9,         ACIS-3,cscv2.0
0.04,2CXO J170043.7-455523, 17 00 43.72,-45 55 23.77,340.99439,-2.29351,5.04,4.22,50.1,5.86,84.63325,                TRUE,False,False, TRUE,False,False,False, TRUE, TRUE,False,False,False,False,False,0.0,0.0,2.431e-14,0.0,0.0,3.419e-14,4.145e-15,2.529e-15,5.691e-15,8.188e-15,6.603e-15,9.684e-15,0.0,0.0,1.208e-14,0.0,0.0,1.72e-14,3.354e-15,2.271e-15,4.386e-15,9.137e-15,7.854e-15,1.034e-14,         ,         ,         ,1,87.24,-0.2673,-0.8826,0.1318,0.929,         ,-0.9994,-1.0,-0.5603,         ,         ,-0.5447,-0.6952,-0.4004,0.938,         ,9.779e-15,7.005e-15,1.168e-14,8.195,4.697,13.265,         ,97.55,44.58,134.2,         ,9.835e-05,2.162e-05,0.0002781,         ,0.897,8.264e-15,4.43e-15,1.065e-14,0.1627,0.1568,0.1948,         ,29.69,16.7,36.35,         ,0.007972,0.002002,         ,         ,0.88,7.968e-15,4.048e-15,9.734e-15,0.1529,0.1465,0.2519,         ,81.11,47.7,88.9,         ,0.02035,0.0007208,         ,         ,0.869,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,  ,         ,         ,         ,0,0.414,1.92e-06,2,69976.7,10063,0,       XTE J1701-462,349725198.662,349775923.963,50725.3,2009-01-30T17:53:19,2009-01-31T07:58:44,54861.74535,50814.0,10,ACIS,NONE,    VFAINT,               TIMED,P,3.1,False, TRUE,397,15.716,182.32,3.85,0.0,2.93,5.24,0.0,17.51,0.08,7.77,51.65,0.56,7,False,1,2,0,0.0003137116,False,False,1,0.0,0.0,1.283e-14,0.0,0.0,2.04e-14,3.646e-15,2.331e-15,4.901e-15,8.324e-15,6.859e-15,9.703e-15,         ,         ,         ,1,-0.7383,-1.0,-0.1305,-0.9994,-1.0,-0.5453,-0.4172,-0.584,-0.2592,  ,         ,         ,         ,         ,         ,         ,         ,50062.5,         ACIS-5,cscv2.0
0.04,2CXO J170142.3-462504, 17 01 42.39,-46 25 04.13,340.70737,-2.73057,2.77,2.09,48.0,11.66,314.191,                TRUE,False,False,False,False,False,False, TRUE,False,False,False,False,False,False,4.447e-14,1.92e-14,6.873e-14,2.101e-14,0.0,4.533e-14,1.416e-14,1.242e-14,1.58e-14,1.806e-14,1.637e-14,1.976e-14,3.492e-14,1.71e-14,5.202e-14,0.0,0.0,2.01e-14,1.28e-14,1.126e-14,1.433e-14,1.787e-14,1.629e-14,1.946e-14,         ,         ,         ,1,80.02,-0.2186,-0.4566,-0.0356,         ,         ,-0.5234,-0.6952,-0.3791,         ,         ,-0.326,-0.3904,-0.263,         ,         ,4.345e-14,3.769e-14,4.868e-14,3.728,3.198,4.4,         ,47.19,36.98,59.54,         ,6.005e-05,4.399e-05,8.651e-05,         ,0.885,3.215e-14,1.836e-14,3.779e-14,0.3298,0.2739,0.3921,         ,7.676,         ,17.93,         ,0.0004031,0.0001823,0.00107,         ,0.989,3.754e-14,2.424e-14,4.352e-14,0.96,0.6949,1.282,         ,25.3,19.06,33.31,         ,6.708e-05,4.539e-05,0.0001175,         ,0.916,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0,0.041,0.652,0.582,  ,         ,         ,1,65457.9,10066,0,       XTE J1701-462,363998736.723,364065061.223,66324.501,2009-07-14T22:45:37,2009-07-15T17:11:01,55026.94834,50814.0,10,ACIS,NONE,    VFAINT,               TIMED,P,3.1,False,False,376,15.598,176.67,11.66,2.21,8.64,11.45,0.0,314.19,0.83,147.31,294.56,0.53,1,False,1,0,0,0.0004798564,False,False,1,3.492e-14,1.71e-14,5.202e-14,0.0,0.0,2.01e-14,1.28e-14,1.126e-14,1.433e-14,1.787e-14,1.629e-14,1.946e-14,         ,         ,         ,1,-0.2186,-0.4566,-0.0356,-0.5234,-0.6952,-0.3791,-0.326,-0.3904,-0.263,0,0.041,0.652,0.582,1.364e-05,0.01885,0.01883,0.01886,65457.9,         ACIS-5,cscv2.0
0.03,2CXO J172051.8-371037, 17 20 51.80,-37 10 37.40,350.26931,-0.14512,0.71,0.71,89.7,15.46,1886.605,                TRUE,False,False,False,False,False,False,False,False,False,False,False,False,False,2.012e-13,1.874e-13,2.143e-13,4.432e-14,3.427e-14,5.377e-14,4.639e-14,4.074e-14,5.204e-14,1.08e-13,9.949e-14,1.165e-13,2.026e-13,1.884e-13,2.159e-13,4.601e-14,3.638e-14,5.564e-14,4.622e-14,4.048e-14,5.196e-14,1.03e-13,9.419e-14,1.113e-13,4.04e-15,7.482e-16,7.183e-15,1,173.6,-0.2911,-0.3991,-0.183,         ,         ,-0.7258,-0.7764,-0.674,         ,         ,-0.5497,-0.599,-0.4978,         ,         ,1.633e-13,1.467e-13,1.777e-13,4.669,4.037,5.438,         ,50.42,39.69,63.2,         ,0.0003285,0.0002311,0.0004889,         ,1.911,1.248e-13,7.113e-14,1.47e-13,0.2329,0.2021,0.2696,         ,15.07,6.468,24.73,         ,0.009867,0.00401,0.02638,         ,2.576,1.585e-13,1.479e-13,1.685e-13,0.536,0.407,0.7138,         ,27.41,19.59,36.92,         ,0.0007136,0.0003681,0.001643,         ,2.274,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0,0.076,0.596,0.671,  ,         ,         ,1,6777.1,10520,0,     AX J172050-3710,361843123.64,361849987.64,6864.0,2009-06-19T23:58:44,2009-06-20T01:53:08,55001.99912,50814.0,10,ACIS,NONE,     FAINT,               TIMED,P,3.2,False,False,3,0.227,270.16,15.46,4.8,8.25,12.36,1.9,1886.61,165.27,475.77,1260.28,23.42,0,False,0,0,0,0.1315147,False,False,0,2.026e-13,1.884e-13,2.159e-13,4.601e-14,3.638e-14,5.564e-14,4.622e-14,4.048e-14,5.196e-14,1.03e-13,9.419e-14,1.113e-13,4.04e-15,7.482e-16,7.183e-15,1,-0.2911,-0.3991,-0.183,-0.7258,-0.7764,-0.674,-0.5497,-0.599,-0.4978,0,0.076,0.596,0.671,0.0003176,0.04385,0.0434,0.04417,6777.1,         ACIS-7,cscv2.0
0.04,2CXO J205855.7+440337, 20 58 55.71,+44 03 37.07,85.31429,-1.18079,1.08,0.93,78.1,26.27,2943.738,                TRUE,False,False,False,False,False,False,False,False,False,False,False,False,False,3.757e-13,3.605e-13,3.91e-13,2.652e-14,1.657e-14,3.591e-14,4.946e-14,4.579e-14,5.313e-14,3.004e-13,2.865e-13,3.135e-13,3.714e-13,3.561e-13,3.868e-13,1.909e-14,1.162e-14,2.656e-14,4.921e-14,4.528e-14,5.313e-14,3.009e-13,2.864e-13,3.145e-13,3.848e-13,1.768e-13,5.927e-13,1,80.74,-0.7695,-0.8364,-0.7064,         ,         ,-0.9619,-0.9738,-0.9513,         ,         ,-0.7383,-0.7577,-0.7189,         ,         ,2.713e-13,2.523e-13,2.873e-13,8.164,7.538,8.853,         ,82.25,72.04,93.54,         ,0.001513,0.001119,0.002092,         ,3.566,2.772e-13,2.374e-13,2.959e-13,0.1711,0.1698,0.1734,         ,10.32,8.84,11.8,         ,0.08144,0.07349,         ,         ,3.318,2.58e-13,1.16e-13,5.158e-13,0.2,0.1791,0.2233,         ,46.62,39.42,54.52,         ,0.0454,0.02245,0.09889,         ,3.126,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0,0.044,0.025,0.01,  ,         ,         ,1,29677.1,14545,0,             HBC 722,490430315.527,490460385.527,30070.0,2013-07-17T06:38:36,2013-07-17T14:59:46,56490.2768,50814.0,14,ACIS,NONE,    VFAINT,               TIMED,P,3.1,False,False,72,12.266,279.08,26.27,3.18,13.51,22.45,2.16,2943.74,14.81,752.24,2823.76,10.27,1,False,1,0,0,0.003386895,False,False,0,3.714e-13,3.561e-13,3.868e-13,1.909e-14,1.162e-14,2.656e-14,4.921e-14,4.528e-14,5.313e-14,3.009e-13,2.864e-13,3.145e-13,3.848e-13,1.768e-13,5.927e-13,1,-0.7695,-0.8364,-0.7064,-0.9619,-0.9738,-0.9513,-0.7383,-0.7577,-0.7189,0,0.044,0.025,0.01,2.426e-05,0.0327,0.03267,0.03272,29677.1,         ACIS-3,cscv2.0
0.01,2CXO J223704.7+184056, 22 37 04.76,+18 40 56.71,83.83279,-33.79705,2.79,1.73,88.0,6.73,118.0704,                TRUE,False,False,False,False,False,False,False,False,False,False,False,False,False,4.683e-14,3.778e-14,5.588e-14,1.565e-14,5.92e-15,2.495e-14,8.917e-15,6.472e-15,1.122e-14,2.311e-14,1.844e-14,2.752e-14,5.472e-14,4.581e-14,6.364e-14,2.077e-14,1.088e-14,3.017e-14,9.461e-15,6.867e-15,1.19e-14,2.429e-14,1.938e-14,2.893e-14,0.0,0.0,2.116e-14,1,5.19,-0.1999,-0.4678,0.0481,         ,         ,-0.6933,-0.8251,-0.5515,         ,         ,-0.5547,-0.659,-0.4379,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0,0.276,0.945,0.966,  ,         ,         ,1,14548.5,2995,1,       PSS 2237+1837,153468341.087,153483076.3,14735.214,2002-11-12T06:05:41,2002-11-12T10:11:16,52590.25395,50814.0,3,ACIS,NONE,     FAINT,               TIMED,P,3.2,False,False,24,11.073,301.34,6.73,1.95,3.76,5.14,1.51,118.07,8.75,46.41,89.7,4.35,3,False,0,0,0,0.001408311,False,False,0,5.472e-14,4.581e-14,6.364e-14,2.077e-14,1.088e-14,3.017e-14,9.461e-15,6.867e-15,1.19e-14,2.429e-14,1.938e-14,2.893e-14,0.0,0.0,2.116e-14,1,-0.1999,-0.4678,0.0481,-0.6933,-0.8251,-0.5515,-0.5547,-0.659,-0.4379,0,0.276,0.945,0.966,0.0004213,0.005308,0.004739,0.006005,14548.5,         ACIS-3,cscv2.0
